Test Case ID,Test Case Name,Feature ID,Feature Name,Module,Test Type,Priority,Category,Preconditions,Test Steps,Test Data,Expected Result,Generated On
TC001,Successful Rib Creation with Simple Profile,F001,Rib Creation Partial Results,Part Design - Solid,Positive,High,Functional,Create a simple solid part.,"1. Step 1: Select a planar face of the solid.
2. Step 2: Create a simple sketch (e.g., a rectangle) on the selected face.
3. Step 3: Use the Rib feature with default settings and the created sketch as the profile.",Simple rectangular sketch,Rib is created successfully without any errors. The resulting solid is valid.,2025-08-16 10:04:28
TC002,Partial Rib Creation with Intersecting Geometry,F001,Rib Creation Partial Results,Part Design - Solid,Positive,High,Functional,Create a solid part with intersecting geometry.,"1. Step 1: Select a sketch profile that partially intersects with existing geometry.
2. Step 2: Use the Rib feature with default settings and the created sketch as the profile.",Sketch intersecting with existing geometry,"Rib is partially created, excluding the intersecting part. Conflict Solver provides specific warnings about the intersection and related features.",2025-08-16 10:04:28
TC003,Partial Merging of Solids,F001,Rib Creation Partial Results,Part Design - Solid,Positive,High,Functional,Create two separate solid parts with a common face.,"1. Step 1: Create a sketch profile that spans across the shared face of both parts.
2. Step 2: Use the Rib feature with default settings and the created sketch.",Two solid parts and a sketch spanning across their shared face,"Rib is partially created and merged with the relevant faces of each part, resulting in a single connected solid.",2025-08-16 10:04:28
TC004,Invalid Sketch Profile,F001,Rib Creation Partial Results,Part Design - Solid,Negative,High,Functional,Create a solid part.,"1. Step 1: Create an invalid sketch profile (e.g., open contour).
2. Step 2: Attempt to use the Rib feature with the invalid sketch.",Open contour sketch,Rib creation fails. An error message is displayed indicating the invalid sketch profile.,2025-08-16 10:04:28
TC005,Extremely Thin Rib,F001,Rib Creation Partial Results,Part Design - Solid,Boundary,Medium,Functional,Create a solid part.,"1. Step 1: Create a very thin rib profile (close to system tolerance).
2. Step 2: Use the Rib feature.",Extremely thin sketch profile,Rib is either created successfully or fails gracefully with an appropriate error message in the Conflict Solver.,2025-08-16 10:04:28
TC006,Complex Sketch with Multiple Contours,F001,Rib Creation Partial Results,Part Design - Solid,Edge,Low,Functional,Create a solid part.,"1. Step 1: Create a complex sketch with many intersecting and overlapping contours.
2. Step 2: Use the Rib feature.",Complex multi-contour sketch,"Rib creation handles the complex sketch as expected, creating partial ribs where possible and providing clear warnings in the Conflict Solver for failed portions.",2025-08-16 10:04:28
TC007,Rib Creation with Move Feature Interference,F001,Rib Creation Partial Results,Part Design - Solid,Negative,High,Functional,Create a solid part with a pre-existing Move Feature.,"1. Step 1: Attempt to create a rib that would interfere with the moved geometry.
2. Step 2: Observe the Conflict Solver messages.",Solid part with a move feature,Rib creation partially succeeds or fails.  Conflict Solver specifically mentions the interference with the Move feature and identifies the problematic area.,2025-08-16 10:04:28
TC008,Large Rib with System Resource Limits,F001,Rib Creation Partial Results,Part Design - Solid,Edge,Low,Non-functional,Create a large solid part.,"1. Step 1: Create a very large sketch profile for a rib that pushes the system resource limits (memory, processing).
2. Step 2: Attempt to create the rib.",Extremely large sketch profile,"Rib creation either completes successfully, partially succeeds with appropriate Conflict Solver messages about limitations, or fails gracefully with an informative error message.  No system crashes or freezes occur.",2025-08-16 10:04:28
TC001,Create New Rib,F002,Rib Creation Mode Selection (New/Add),Part Design - Solid,Positive,High,Functional,Open Part Design workbench.  A valid sketch for rib creation is available.,"1. Step 1: Select the rib creation tool.
2. Step 2: Choose 'New' for the selection parameter (SP).
3. Step 3: Enter valid parameters for the rib (thickness, length, etc.).
4. Step 4: Click 'OK' to create the rib.",N/A,"A new, separate solid rib (purple) is created based on the sketch.",2025-08-16 10:04:28
TC002,Add Rib to Existing Solid,F002,Rib Creation Mode Selection (New/Add),Part Design - Solid,Positive,High,Functional,Open Part Design workbench. A valid sketch for rib creation is available. An existing solid body is present.,"1. Step 1: Select the rib creation tool.
2. Step 2: Choose 'Add' for the selection parameter (SP).
3. Step 3: Enter valid parameters for the rib.
4. Step 4: Click 'OK' to create the rib.",N/A,"The new rib (blue) is merged with the existing solid, forming a single body.",2025-08-16 10:04:28
